slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide,label
MIZ/AZL/2024/489,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/489),,23.45083333,92.6825,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/498,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/498),,23.44805556,92.68333333,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/500,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/500),,23.44333333,92.68527778,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/503,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/503),,23.42722222,92.71277778,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/505,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/505),,23.41694444,92.71805556,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/511,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/511),,23.41,92.74944444,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/526,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/526),,23.37972222,92.75166667,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/534,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/534),,23.35694444,92.77027778,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/535,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/535),,23.35638889,92.77027778,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/539,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/539),,23.39166667,92.75527778,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/548,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/548),,23.43194444,92.76083333,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/552,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/552),,23.44138889,92.77888889,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/559,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/559),,23.48555556,92.70305556,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/561,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/561),,23.49083333,92.70555556,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/567,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/567),,23.49861111,92.70388889,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/570,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/570),,23.66194444,92.85416667,Debris,Slide,12 November 2024,2024-11-12,1,1
MIZ/AZL/2024/571,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/571),,23.68277778,92.8575,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/572,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/572),,23.68305556,92.8575,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/575,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/575),,23.71388889,92.85722222,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/576,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/576),,23.68638889,92.85833333,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/578,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/578),,23.69472222,92.85972222,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/579,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/579),,23.71416667,92.85805556,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/582,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/582),,23.72722222,92.85472222,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/583,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/583),,23.72972222,92.85305556,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/586,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/586),,23.73111111,92.84638889,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/587,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/587),,23.73361111,92.84305556,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/599,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/599),,23.73833333,92.81333333,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/600,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/600),,23.73694444,92.81361111,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/601,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/601),,23.73472222,92.81333333,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/605,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/605),,23.73,92.75833333,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/608,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/608),,23.73055556,92.75861111,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/610,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/610),,23.72916667,92.76583333,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/612,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/612),,23.73027778,92.76861111,Debris,Slide,28 August 2024,2024-08-28,1,1
MIZ/AZL/2024/613,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/613),,23.73222222,92.76555556,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/616,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/616),,23.73794444,92.78613889,Rock,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/617,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/617),,23.7375,92.78805556,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/620,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/620),,23.73388889,92.79388889,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/621,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/621),,23.72222222,92.79861111,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/622,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/622),,23.72138889,92.79944444,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/623,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/623),,23.72138889,92.85777778,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/624,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/624),,23.72083333,92.86472222,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/627,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/627),,23.71166667,92.87833333,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/628,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/628),,23.71111111,92.87861111,Debris,Slide,28 June 2024,2024-06-28,1,1
MIZ/AZL/2024/629,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/629),,23.70333333,92.87638889,Debris,Slide,18 July 2024,2024-07-18,1,1
MIZ/AZL/2024/634,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/634),,23.73361111,92.84833333,Debris,Slide,7 June 2024,2024-06-07,1,1
MIZ/AZL/2024/635,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/635),,23.73361111,92.85305556,Debris,Complex,28 August 2024,2024-08-28,1,1
MIZ/AZL/2024/636,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/636),,23.735,92.85666667,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/637,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/637),,23.73666667,92.85611111,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/638,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/638),,23.73583333,92.85194444,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/639,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/639),,23.74416667,92.85555556,Debris,Slide,25 September 2024,2024-09-25,1,1
MIZ/AZL/2024/640,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/640),,23.74361111,92.85416667,Debris,Slide,25 September 2024,2024-09-25,1,1
MIZ/AZL/2024/641,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/641),,23.76111111,92.84777778,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/642,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/642),,23.76166667,92.85083333,Debris,Complex,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/643,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/643),,23.76527778,92.85,Earth/Soil,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/644,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/644),,23.76861111,92.85138889,Earth/Soil,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/645,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/645),,23.77777778,92.8479,Earth/Soil,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/646,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/646),,23.774,92.848,Debris,Slide,28 June 2024,2024-06-28,1,1
MIZ/AZL/2024/647,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/647),,23.7775,92.84833333,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/648,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/648),,23.77833333,92.84666667,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/649,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/649),,23.77166667,92.84805556,Debris,Slide,23 July 2023,2023-07-23,1,1
MIZ/AZL/2024/652,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/652),,23.77361111,92.84944444,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/657,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/657),,23.82638889,92.8325,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/659,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/659),,23.83277778,92.8325,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/660,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/660),,23.83888889,92.83194444,Earth/Soil,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/661,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/661),,23.84777778,92.83694444,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/662,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/662),,23.85194444,92.83305556,Earth/Soil,Slide,25 September 2024,2024-09-25,1,1
MIZ/AZL/2024/663,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/663),,23.86222222,92.83666667,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/665,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/665),,23.87777778,92.84083333,Debris,Slide,25 September 2024,2024-09-25,1,1
MIZ/AZL/2024/666,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/666),,23.88583333,92.85055556,Rock,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/667,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/667),,23.89277778,92.85083333,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/668,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/668),,23.89138889,92.84888889,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/669,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/669),,23.89305556,92.84722222,Earth/Soil,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/670,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/670),,23.88361111,92.85305556,Earth/Soil,Slide,17 August 2024,2024-08-17,1,1
MIZ/AZL/2024/671,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/671),,23.88527778,92.8575,Earth/Soil,Slide,25 September 2024,2024-09-25,1,1
MIZ/AZL/2024/672,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/672),,23.76972222,92.76,Earth/Soil,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/705,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/705),,24.03503889,93.54139444,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/706,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/706),,24.05808333,93.49808333,Earth/Soil,Slide,7 October 2024,2024-10-07,1,1
MIZ/AZL/2024/707,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/707),,24.04531667,93.49220278,Debris,Slide,7 October 2024,2024-10-07,1,1
MIZ/AZL/2024/708,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/708),,24.090025,93.54191667,Debris,Slide,7 October 2024,2024-10-07,1,1
MIZ/AZL/2024/709,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/709),,24.10864167,93.54198333,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/710,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/710),,24.12682222,93.54013889,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/711,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/711),,24.12715278,93.53351389,Earth/Soil,Slide,7 October 2024,2024-10-07,1,1
MIZ/AZL/2024/712,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/712),,24.17180556,93.54406667,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/713,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/713),,24.18291667,93.53441944,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/714,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/714),,24.18566111,93.53935278,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/715,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/715),,24.24449722,93.55275833,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/716,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/716),,24.24755556,93.54809722,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/717,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/717),,24.28840278,93.58591389,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/718,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/718),,24.29982222,93.59040833,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/719,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/719),,24.30768611,93.58120556,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/720,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/720),,24.30711944,93.59375833,Earth/Soil,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/721,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/721),,24.33915833,93.66233611,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/722,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/722),,24.33331944,93.65702778,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/723,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/723),,24.33300556,93.65357222,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/724,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/724),,24.3309,93.66054444,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/725,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/725),,24.32773611,93.57937222,Rock,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/726,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/726),,24.39255556,93.65468611,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/728,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/728),,24.49112222,93.62215556,Earth/Soil,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/730,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/730),,24.48458889,93.58781944,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/731,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/731),,24.492825,93.58643611,Earth/Soil,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/732,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/732),,24.51785556,93.55086944,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/AZL/2024/734,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/734),,24.52308611,93.57206944,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/735,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/735),,24.48338333,93.58848056,Debris,Complex,28 September 2024,2024-09-28,1,1
MIZ/KOL/2024/736,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/736),,24.450125,93.35963889,Earth/Soil,Slide,8 August 2024,2024-08-08,1,1
MIZ/KOL/2024/737,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/737),,24.48857222,93.36792222,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/KOL/2024/738,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/738),,24.54263333,93.39741944,Debris,Slide,18 August 2024,2024-08-18,1,1
MIZ/KOL/2024/739,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/739),,24.60002222,93.37166389,Earth/Soil,Slide,21 October 2024,2024-10-21,1,1
MIZ/KOL/2024/740,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/740),,24.60067222,93.37223056,Earth/Soil,Slide,21 October 2024,2024-10-21,1,1
MIZ/KOL/2024/741,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/741),,24.60372222,93.37223056,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/KOL/2024/742,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/742),,24.66895556,93.33700556,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/KOL/2024/744,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/744),,24.76606111,93.30076667,Earth/Soil,Slide,13 August 2024,2024-08-13,1,1
MIZ/KOL/2024/745,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/745),,24.73838889,93.30909722,Debris,Slide,18 August 2024,2024-08-18,1,1
MIZ/KOL/2024/746,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/746),,24.72074444,93.30899167,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/KOL/2024/747,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/747),,24.716225,93.32551389,Debris,Slide,18 August 2024,2024-08-18,1,1
MIZ/KOL/2024/748,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/748),,24.70553333,93.33064167,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/KOL/2024/749,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/749),,24.60719444,93.46784722,Earth/Soil,Slide,19 August 2024,2024-08-19,1,1
MIZ/KOL/2024/750,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/750),,24.60853333,93.41668333,Debris,Slide,18 August 2024,2024-08-18,1,1
MIZ/AZL/2024/752,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/752),,23.09758333,93.21623333,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/753,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/753),,23.10851389,93.20975,Debris,Slide,28 June 2024,2024-06-28,1,1
MIZ/AZL/2024/754,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/754),,23.10172778,93.20231944,Debris,Complex,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/755,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/755),,23.101925,93.20426111,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/756,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/756),,23.10184722,93.20138889,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/759,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/759),,23.09759444,93.21089444,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/760,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/760),,23.09561111,93.20786389,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/762,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/762),,23.10100556,93.19393611,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/763,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/763),,23.10074722,93.18785278,Debris,Complex,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/764,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/764),,23.09954722,93.18600278,Debris,Complex,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/767,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/767),,23.0983,93.17597222,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/768,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/768),,23.110975,93.21260278,Debris,Slide,28 May 2024,2024-05-28,1,1
MIZ/AZL/2024/769,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/769),,23.25986389,93.16155278,Debris,Slide,28 October 2024,2024-10-28,1,1
MIZ/AZL/2024/770,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/770),,23.25828611,93.15288333,Debris,Slide,28 November 2024,2024-11-28,1,1
MIZ/AZL/2024/771,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/771),,23.26126111,93.15070556,Debris,Slide,28 November 2024,2024-11-28,1,1
MIZ/AZL/2024/772,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/772),,23.25951944,93.15917222,Debris,Complex,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/773,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/773),,23.27598056,93.14351667,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/774,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/774),,23.27663889,93.14375,Rock,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/775,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/775),,23.281075,93.144075,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/AZL/2024/776,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/776),,23.32829167,93.12184167,Debris,Slide,28 September 2024,2024-09-28,1,1
MIZ/AZL/2024/777,Mizoram,Aizawl,Aizawl Slope Failure (MIZ/AZL/2024/777),,23.33529167,93.11214167,Debris,Slide,2 July 2024,2024-07-02,1,1
MIZ/KOL/2024/778,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/778),,23.41421944,93.10569167,Debris,Slide,13 August 2024,2024-08-13,1,1
MIZ/KOL/2024/780,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/780),,23.50882222,93.09170278,Earth/Soil,Slide,2 July 2024,2024-07-02,1,1
MIZ/KOL/2024/781,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/781),,23.54130278,93.10256944,Earth/Soil,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/782,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/782),,23.54600556,93.09247222,Earth/Soil,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/783,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/783),,23.54286944,93.08539722,Earth/Soil,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/784,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/784),,23.56332778,93.10553333,Earth/Soil,Slide,22 October 2024,2024-10-22,1,1
MIZ/KOL/2024/785,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/785),,23.56785,93.10472222,Debris,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/786,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/786),,23.56413333,93.11378889,Earth/Soil,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/787,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/787),,23.56233889,93.11890833,Debris,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/789,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/789),,23.56238611,93.12376667,Earth/Soil,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/790,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/790),,23.56404167,93.10752222,Earth/Soil,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/791,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/791),,23.56145278,93.10908889,Debris,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/792,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/792),,23.55881111,93.10900556,Earth/Soil,Slide,12 September 2024,2024-09-12,1,1
MIZ/KOL/2024/794,Mizoram,Kolasib,Kolasib Slope Failure (MIZ/KOL/2024/794),,23.5356,93.10656944,Debris,Slide,13 September 2024,2024-09-13,1,1
